owner_name,owner_type,total_filings,notice_to_vacate,restorations,restoration_pct,first_year,last_year,years_active,units_owned,max_sq_ft,year_built,assessed_value,zip_count,zip_codes,high_conf,med_conf
2201 LOCUST LLC,LLC,4,4.0,0.0,0.0,2022,2025,3,12,7312,1958,1801299,1,90806,4,0
LAND MARK MARKETING CORP,Corporation,6,4.0,2.0,33.3,2019,2025,4,30,14083,1941,4235881,1,90802,5,1
PHOENIX PROPERTIES,Other/Unknown,6,4.0,2.0,33.3,2018,2025,3,14,10746,1963,483429,1,90813,5,1
1862 68 PINE LLC,LLC,6,4.0,2.0,33.3,2018,2023,3,16,6044,1959,2787724,1,90806,4,2
IND_0089,Individual Trust,7,4.0,3.0,42.9,2020,2025,4,18,14176,1961,2232972,1,90804,2,5
IND_0090,Individual Trust,4,4.0,0.0,0.0,2019,2025,4,9,8072,1987,521381,1,90804,3,1
545 LINDEN INVESTORS LP,Limited Partnership,6,4.0,2.0,33.3,2020,2024,4,20,8988,1950,2144402,1,90802,5,1
4500 7TH STREET LLC,LLC,6,4.0,2.0,33.3,2022,2025,3,21,15292,1957,2224614,1,90804,5,1
P K BONITO LTD,Other/Unknown,5,4.0,1.0,20.0,2018,2024,3,10,6016,1962,891486,1,90802,5,0
IND_0091,Individual Trust,6,4.0,2.0,33.3,2023,2024,2,3,656,1938,362349,1,90805,2,4
IND_0092,Individual Trust,8,4.0,4.0,50.0,2018,2024,4,2,2240,1912,463754,1,90802,8,0
611 WALNUT AVE LLC,LLC,5,4.0,1.0,20.0,2018,2020,3,14,10386,1956,3225675,1,90802,5,0
IND_0093,Individual Trust,7,4.0,3.0,42.9,2018,2023,4,24,15952,1963,905077,1,90813,4,3
INCHON50 LLC,LLC,4,4.0,0.0,0.0,2018,2025,3,10,4500,1920,1245646,1,90813,4,0
IND_0094,Individual Trust,6,4.0,2.0,33.3,2019,2019,1,2,2886,1963,693453,1,90803,6,0
LONG BEACH AND BURNETT LP,Limited Partnership,6,4.0,2.0,33.3,2018,2024,4,46,63400,2010,13673323,1,90806,6,0
VILLAGE CHATEAU LP,Limited Partnership,8,4.0,4.0,50.0,2018,2023,3,28,14376,1989,3674648,1,90802,7,1
LB VIEW INC,Corporation,7,4.0,3.0,42.9,2019,2024,4,12,3870,1923,2121756,1,90804,7,0
1000 REDONDO AVENUE LLC,LLC,5,4.0,1.0,20.0,2019,2025,3,20,9580,1929,3048417,1,90804,0,5
IND_0095,Individual Trust,6,4.0,2.0,33.3,2018,2024,3,19,7680,1923,993687,1,90813,4,2
IND_0096,Individual,6,4.0,2.0,33.3,2018,2025,4,3,464,1926,394189,1,90810,5,1
IND_0097,Individual Trust,6,4.0,2.0,33.3,2022,2024,3,8,969,1931,336321,1,90813,6,0
IND_0098,Individual Trust,7,4.0,3.0,42.9,2018,2023,3,30,15579,1962,2023775,2,"90805, 90807",4,3
IND_0099,Individual,6,4.0,2.0,33.3,2019,2024,4,1,1084,1953,270654,1,90815,0,6
IND_0100,Individual Trust,5,4.0,1.0,20.0,2019,2024,4,5,5175,1963,566938,2,"90805, 90806",2,3
EVERGREEN APARTMENTS LP,Limited Partnership,6,4.0,2.0,33.3,2018,2025,3,36,40628,1964,6106776,1,90805,6,0
IND_0101,Individual,6,4.0,2.0,33.3,2018,2024,4,4,3440,1919,1212432,1,90802,6,0
IND_0102,Individual Trust,7,4.0,3.0,42.9,2018,2025,3,16,7533,1986,1370256,1,90806,1,6
MAGNOLIA 1211 LLC,LLC,8,4.0,4.0,50.0,2018,2024,4,16,10900,1930,2438733,1,90813,6,2
IND_0103,Individual Trust,5,4.0,1.0,20.0,2019,2023,2,7,6372,1963,940054,1,90806,5,0
LUCKY DAWSON 12 LB LLC,LLC,6,4.0,2.0,33.3,2021,2023,2,12,4010,1922,781527,1,90804,5,1
LAND MARK MARKETING CORPORATION,Corporation,5,4.0,1.0,20.0,2023,2024,2,20,11257,1946,3609030,1,90802,5,0
279 TEMPLE APTS LLC,Religious,7,4.0,3.0,42.9,2019,2023,3,18,13546,1961,5571246,1,90803,7,0
IND_0104,Individual,6,4.0,2.0,33.3,2018,2024,4,1,1560,2001,388134,1,90810,3,3
MSGS AND ASSOCIATES LLC,LLC,7,4.0,3.0,42.9,2020,2024,3,22,18312,1987,3069258,1,90806,7,0
IND_0105,Individual Trust,4,4.0,0.0,0.0,2019,2025,4,8,4162,1947,158274,1,90803,4,0
ADW NO 1 LLC,LLC,5,4.0,1.0,20.0,2018,2024,4,8,6516,1986,2808295,2,"90802, 90814",5,0
IND_0106,Individual Trust,6,4.0,2.0,33.3,2019,2025,4,12,670,1928,464015,1,90813,4,2
IND_0107,Individual,4,4.0,0.0,0.0,2018,2018,1,2,1271,1941,426327,1,90805,4,0
IND_0108,Individual Trust,5,4.0,1.0,20.0,2018,2023,2,8,6240,1986,1700617,1,90804,4,1
IND_0109,Individual,6,4.0,2.0,33.3,2019,2025,4,5,4860,1987,632025,2,"90805, 90806",6,0
634 CEDAR AVENUE INVESTORS LP,Limited Partnership,7,4.0,3.0,42.9,2019,2024,3,22,9777,1924,2405095,1,90802,7,0
IND_0110,Individual Trust,4,4.0,0.0,0.0,2018,2025,2,6,3520,1957,854945,1,90810,2,2
BRUS BELMONT SHORE LLC,LLC,5,4.0,1.0,20.0,2022,2025,4,18,9708,1958,5781481,1,90803,5,0
IND_0111,Individual Trust,4,4.0,0.0,0.0,2019,2023,3,15,2250,1938,1045595,1,90802,4,0
IND_0112,Individual Trust,5,4.0,1.0,20.0,2018,2025,3,1,1938,1954,335458,1,90815,0,5
REMEDY INVESTORS 2 LLC,LLC,6,4.0,2.0,33.3,2018,2025,3,10,9134,1988,1643898,1,90813,6,0
1405 OB LLC,LLC,7,4.0,3.0,42.9,2018,2025,4,20,12636,1941,2944515,1,90802,6,1
SMOKINMONKEY LLC,LLC,6,4.0,2.0,33.3,2023,2024,2,5,1535,1924,711025,1,90804,2,4
BROADLINE APARTMENT INC,Corporation,6,4.0,2.0,33.3,2019,2024,4,12,7148,1929,743349,1,90802,4,2
BIXBY GARDENS LLC,LLC,6,4.0,2.0,33.3,2019,2024,3,38,41473,2002,5299111,1,90807,5,1
IND_0113,Individual Trust,6,4.0,2.0,33.3,2020,2025,4,9,6159,1962,282448,1,90805,6,0
IND_0114,Individual Trust,6,4.0,2.0,33.3,2018,2025,3,12,9028,1987,1154189,1,90804,0,6
IND_0115,Individual,5,4.0,1.0,20.0,2023,2024,2,3,984,1913,421000,1,90813,4,1
CHESTNUT LB LLC,LLC,7,4.0,3.0,42.9,2018,2023,3,8,4562,1930,868467,1,90806,0,7
LONG BEACH MULTI LLC,LLC,5,4.0,1.0,20.0,2023,2024,2,11,9361,1988,2095134,1,90802,4,1
LABINGER PROPERTIES LLC AND,LLC,5,4.0,1.0,20.0,2019,2025,3,33,45422,1988,3698796,1,90802,5,0
IND_0116,Individual,7,4.0,3.0,42.9,2022,2024,2,10,9548,1987,948524,1,90806,0,7
3101 EAST ARTESIA APARTMENTS LLC,LLC,6,4.0,2.0,33.3,2018,2024,4,169,90562,1966,14448729,1,90805,6,0
IND_0117,Individual,7,4.0,3.0,42.9,2019,2020,2,2,1666,1951,342310,1,90805,7,0
1210 CHESTNUT LLC AND,LLC,6,4.0,2.0,33.3,2018,2022,3,17,8535,1929,2841334,1,90802,6,0
