owner_name,owner_type,total_filings,notice_to_vacate,restorations,restoration_pct,first_year,last_year,years_active,units_owned,max_sq_ft,year_built,assessed_value,zip_count,zip_codes,high_conf,med_conf
HEARTHSTONE COMMUNITY FOUNDATION,Non-Profit,3,2.0,1.0,33.3,2019,2024,2,10,6388,1908,271531,1,90813,3,0
820 REDONDO APARTMENTS LP,Limited Partnership,3,2.0,1.0,33.3,2025,2025,1,27,27010,1987,5027741,1,90804,0,3
DOWNTOWN VILLA ASSN,Other/Unknown,3,2.0,1.0,33.3,2021,2024,2,12,10680,1962,1738301,1,90813,3,0
IND_0249,Individual,3,2.0,1.0,33.3,2018,2018,1,8,6937,1948,213574,1,90807,0,3
ELM LB LLC,LLC,4,2.0,2.0,50.0,2019,2021,2,4,3932,1987,927510,1,90806,0,4
IND_0250,Individual Trust,2,2.0,0.0,0.0,2024,2024,1,19,9740,1929,809877,1,90802,2,0
IND_0251,Individual Trust,4,2.0,2.0,50.0,2022,2023,2,2,2944,1969,130517,1,90805,3,1
IND_0252,Individual,4,2.0,2.0,50.0,2023,2024,2,2,2178,1927,271879,1,90805,4,0
IND_0253,Individual Trust,3,2.0,1.0,33.3,2018,2019,2,12,9151,1955,1235472,1,90802,1,2
IND_0254,Individual,3,2.0,1.0,33.3,2018,2024,2,4,1728,1964,522125,1,90806,1,2
1857 PINE APARTMENTS LLC,LLC,4,2.0,2.0,50.0,2022,2023,2,8,6023,1959,1409945,1,90806,4,0
FOISON INTERNATIONAL INVESTMENT,Other/Unknown,4,2.0,2.0,50.0,2023,2025,3,8,6868,1989,1274161,1,90804,2,2
IND_0255,Individual Trust,3,2.0,1.0,33.3,2019,2025,2,4,4491,1963,180333,1,90815,3,0
IND_0256,Individual,3,2.0,1.0,33.3,2018,2021,2,8,5154,1936,300910,1,90813,3,0
IND_0257,Individual Trust,3,2.0,1.0,33.3,2018,2024,2,2,1646,1919,81545,1,90813,0,3
LONG BOARD PROPERTIES LLC,LLC,3,2.0,1.0,33.3,2018,2018,1,9,6145,1956,1432943,1,90802,3,0
OBISPO APARTMENTS LLC,LLC,3,2.0,1.0,33.3,2018,2025,3,8,6784,1963,1365173,1,90804,0,3
LONG BEACH EUCL APTS LLC,LLC,3,2.0,1.0,33.3,2022,2025,2,27,25683,1970,1200030,1,90803,0,3
IND_0258,Individual Trust,3,2.0,1.0,33.3,2018,2025,2,5,2264,1912,334357,1,90802,0,3
ESTEE REALTY GROUP LLC,LLC,4,2.0,2.0,50.0,2018,2025,3,13,7742,1962,3600000,1,90808,4,0
IND_0259,Individual Trust,3,2.0,1.0,33.3,2022,2024,2,10,7122,1946,204243,1,90806,3,0
GGB INVESTMENTS LP,Limited Partnership,2,2.0,0.0,0.0,2018,2023,2,9,7730,1990,534589,2,"90804, 90806",1,1
MCKENZIE PROPERTIES NO 1 LLC,LLC,4,2.0,2.0,50.0,2021,2023,2,8,3464,1947,151020,1,90803,3,1
IND_0260,Individual Trust,3,2.0,1.0,33.3,2021,2024,2,9,7180,1963,144715,1,90813,2,1
IND_0261,Individual Trust,4,2.0,2.0,50.0,2023,2023,1,8,10248,1930,510307,1,90813,0,4
BLUE KNIGHT LLC,LLC,3,2.0,1.0,33.3,2023,2024,2,9,8295,1987,1346341,1,90804,3,0
IND_0262,Individual Trust,2,2.0,0.0,0.0,2022,2025,2,10,5600,1959,1136249,1,90813,1,1
MAHDEK 10 PROPERTY PARTNERS LLC,LLC,2,2.0,0.0,0.0,2019,2019,1,20,16080,1963,4717687,1,90813,2,0
IND_0263,Individual Trust,4,2.0,2.0,50.0,2019,2023,2,8,6077,1973,239128,1,90803,4,0
KAHAAN LLC,LLC,2,2.0,0.0,0.0,2018,2018,1,10,3968,1955,906899,1,90803,2,0
ZENTA LP,Limited Partnership,2,2.0,0.0,0.0,2018,2024,2,9,8328,1987,2856343,1,90804,2,0
1968 CHESTNUT LLC,LLC,3,2.0,1.0,33.3,2018,2022,2,14,9437,1947,2251623,1,90806,1,2
1529 JUNIPERO AVENUE LLC,LLC,4,2.0,2.0,50.0,2022,2023,2,12,9913,1964,1642131,1,90804,4,0
IND_0264,Individual,2,2.0,0.0,0.0,2023,2024,2,1,1743,1953,275673,1,90810,2,0
IND_0265,Individual,4,2.0,2.0,50.0,2022,2025,3,2,370,1920,202747,1,90804,2,2
47 EL NIDO LLC,LLC,2,2.0,0.0,0.0,2018,2019,2,6,4000,1947,1675000,1,90813,1,1
IND_0266,Individual,4,2.0,2.0,50.0,2023,2024,2,5,6300,1963,366166,1,90804,2,2
IND_0267,Individual,3,2.0,1.0,33.3,2018,2018,1,10,5984,1962,865201,1,90813,0,3
1078 OCEAN BLVD LLC,LLC,3,2.0,1.0,33.3,2023,2023,1,23,10051,1913,4392120,1,90802,3,0
IND_0268,Individual,2,2.0,0.0,0.0,2024,2024,1,1,2949,1944,380138,1,90806,2,0
IND_0269,Individual,3,2.0,1.0,33.3,2019,2021,2,12,7560,1928,411764,1,90802,3,0
IND_0270,Individual,2,2.0,0.0,0.0,2022,2023,2,1,964,1928,115197,1,90807,2,0
IND_0271,Individual,2,2.0,0.0,0.0,2018,2023,2,4,4200,1964,940685,1,90805,2,0
IND_0272,Individual,2,2.0,0.0,0.0,2025,2025,1,1,694,1912,118717,1,90802,2,0
IND_0273,Individual,2,2.0,0.0,0.0,2023,2024,2,4,4068,1978,1097554,1,90805,2,0
2163 ELM AVENUE LP,Limited Partnership,4,2.0,2.0,50.0,2023,2024,2,16,13944,1963,1924582,1,90806,0,4
1330 LONG BEACH SQUARE LLC,LLC,2,2.0,0.0,0.0,2021,2023,2,16,13804,1988,1002289,1,90813,2,0
PATGARBONE LLC,LLC,2,2.0,0.0,0.0,2023,2024,2,5,6750,1994,466133,1,90813,2,0
IND_0274,Individual,4,2.0,2.0,50.0,2018,2023,2,2,1318,1938,529900,1,90805,4,0
IND_0275,Individual Trust,3,2.0,1.0,33.3,2018,2018,1,16,13944,1963,1589102,1,90806,3,0
SOBEL VALLEY LLC,LLC,3,2.0,1.0,33.3,2018,2018,1,14,8063,1961,3425120,1,90813,3,0
DOYLE HOLDINGS LLC,LLC,3,2.0,1.0,33.3,2023,2023,1,11,8532,1964,2452660,1,90813,0,3
CIRCLE APARTMENTS AT LONG BEACH,Other/Unknown,4,2.0,2.0,50.0,2022,2023,2,227,50500,1970,70124035,1,90815,4,0
SURF TERRANCE APARTMENTS LLC,LLC,4,2.0,2.0,50.0,2023,2024,2,60,58174,1964,28896296,1,90803,4,0
LONG BEACH UNIFIED SCHOOL DIST,Government,3,2.0,1.0,33.3,2018,2024,2,24,4032,1955,0,1,90802,3,0
816 829 WALNUT APARTMENTS LLC,LLC,5,2.0,3.0,60.0,2022,2023,2,9,6948,1962,945142,1,90813,5,0
IND_0276,Individual,3,2.0,1.0,33.3,2019,2022,2,4,3484,1961,985000,1,90805,0,3
670 XIMENO LLC,LLC,2,2.0,0.0,0.0,2018,2023,2,9,7716,1987,814357,1,90814,2,0
IND_0277,Individual,2,2.0,0.0,0.0,2022,2023,2,2,1536,1945,758497,1,90815,2,0
IND_0278,Individual,2,2.0,0.0,0.0,2018,2023,2,1,768,1927,483000,1,90805,0,2
IND_0279,Individual Trust,4,2.0,2.0,50.0,2020,2024,2,9,7331,1963,420521,1,90805,2,2
TC-LB 1 LLC,LLC,2,2.0,0.0,0.0,2020,2024,2,7,4856,1964,1156295,1,90805,2,0
IND_0280,Individual Trust,3,2.0,1.0,33.3,2018,2022,2,4,5100,1968,762582,1,90806,1,2
FULLHOUSE PROPERTIES LLC,LLC,3,2.0,1.0,33.3,2019,2020,2,10,7694,1970,1694078,1,90805,3,0
IND_0281,Individual,4,2.0,2.0,50.0,2022,2024,2,6,2640,1923,1262949,1,90813,1,3
GSS INVESTMENTS LLC,LLC,2,2.0,0.0,0.0,2020,2025,2,7,4445,1954,119084,1,90805,1,1
IND_0282,Individual Trust,4,2.0,2.0,50.0,2019,2025,2,8,2150,1957,157610,1,90805,2,2
IND_0283,Individual Trust,3,2.0,1.0,33.3,2018,2021,2,8,5298,1963,338474,1,90806,2,1
526 MAGNOLIA AVE LLC,LLC,4,2.0,2.0,50.0,2018,2023,2,11,6084,1913,1224880,1,90802,2,2
IND_0284,Individual,2,2.0,0.0,0.0,2018,2019,2,11,8529,1960,1805385,1,90804,0,2
IND_0285,Individual,2,2.0,0.0,0.0,2018,2022,2,9,6084,1988,1350649,1,90813,2,0
IND_0286,Individual,2,2.0,0.0,0.0,2024,2024,1,8,7488,1989,777919,1,90813,1,1
IND_0287,Individual Trust,4,2.0,2.0,50.0,2023,2025,2,8,7878,1987,1208423,1,90804,3,1
FRIENDLY VILLAGE MHP ASSOCIATES,Association/HOA,4,2.0,2.0,50.0,2018,2024,3,163,4468,1970,26047690,1,90805,4,0
IND_0288,Individual Trust,3,2.0,1.0,33.3,2018,2019,2,3,1026,1919,667223,1,90804,3,0
IND_0289,Individual Trust,3,2.0,1.0,33.3,2019,2024,3,8,4732,1946,853773,1,90806,3,0
4901 CLAIR DEL INVESTORS,Other/Unknown,3,2.0,1.0,33.3,2018,2021,2,73,34398,1970,3466645,1,90807,3,0
IND_0290,Individual Trust,2,2.0,0.0,0.0,2024,2024,1,12,8470,1955,861967,1,90813,2,0
IND_0291,Individual Trust,4,2.0,2.0,50.0,2019,2023,2,6,3008,1929,203102,1,90805,4,0
IND_0292,Individual Trust,4,2.0,2.0,50.0,2020,2023,2,6,4272,1927,849429,1,90802,4,0
CASA CARINO,Other/Unknown,3,2.0,1.0,33.3,2018,2024,2,25,23554,1995,3137159,1,90802,3,0
SAN RAFAEL MOUNTAIN PROPERTIES,Other/Unknown,4,2.0,2.0,50.0,2018,2023,2,60,27940,1977,4448103,1,90804,0,4
IND_0293,Individual,4,2.0,2.0,50.0,2022,2023,2,1,957,1984,120675,1,90802,4,0
IND_0294,Individual,3,2.0,1.0,33.3,2018,2022,2,8,7700,1987,990136,1,90813,2,1
DOUGLAS CENTER PARTNERS LLC,LLC,3,2.0,1.0,33.3,2019,2020,2,20,14682,1991,2979105,1,90808,0,3
IND_0295,Individual Trust,4,2.0,2.0,50.0,2022,2022,1,4,1247,1922,584024,1,90804,0,4
4TH ST 639 W LLC,LLC,3,2.0,1.0,33.3,2018,2020,2,14,8346,1965,2573283,1,90802,3,0
TEXAS HOTELS INC,Corporation,4,2.0,2.0,50.0,2023,2023,1,135,59752,1990,6461263,1,90813,4,0
IND_0296,Individual,3,2.0,1.0,33.3,2025,2025,1,3,1848,1947,1051178,1,90807,0,3
SUKH MAYA PROPERTIES LLC,LLC,3,2.0,1.0,33.3,2019,2020,2,5,6437,0,1262444,1,90805,3,0
IND_0297,Individual Trust,2,2.0,0.0,0.0,2021,2021,1,18,7182,1947,3358727,1,90807,0,2
SATWOOD PROPERTIES LLC,LLC,3,2.0,1.0,33.3,2019,2024,2,20,10216,1930,588105,1,90802,3,0
IND_0298,Individual Trust,3,2.0,1.0,33.3,2018,2019,2,12,9432,1988,609365,1,90805,3,0
FULLHOUSE INVESTMENTS LLC,LLC,3,2.0,1.0,33.3,2018,2024,2,8,7238,1964,1189126,1,90806,3,0
IND_0299,Individual,3,2.0,1.0,33.3,2022,2023,2,16,5400,1941,1509228,1,90806,2,1
IND_0300,Individual Trust,3,2.0,1.0,33.3,2018,2019,2,14,8062,1950,698288,1,90802,3,0
COMBEST PROPERTIES LLC,LLC,4,2.0,2.0,50.0,2022,2023,2,8,5224,1959,409195,1,90804,0,4
IND_0301,Individual Trust,2,2.0,0.0,0.0,2018,2024,2,14,8086,1929,2192531,1,90813,2,0
IND_0302,Individual,3,2.0,1.0,33.3,2019,2024,2,20,4780,1923,765636,1,90802,3,0
IND_0303,Individual Trust,3,2.0,1.0,33.3,2018,2020,2,7,4638,1961,769358,1,90805,2,1
IND_0304,Individual Trust,3,2.0,1.0,33.3,2019,2023,2,8,5814,1986,963128,1,90804,0,3
IND_0305,Individual,2,2.0,0.0,0.0,2018,2023,2,10,3996,1922,334359,1,90813,2,0
IND_0306,Individual,4,2.0,2.0,50.0,2023,2025,2,2,720,1947,553727,1,90805,3,1
IND_0307,Individual Trust,4,2.0,2.0,50.0,2018,2022,2,10,3904,1923,597563,1,90804,4,0
460 EIGHT LLC,LLC,3,2.0,1.0,33.3,2019,2019,1,8,6920,1986,932251,1,90802,0,3
IND_0308,Individual,3,2.0,1.0,33.3,2018,2018,1,2,1016,1944,510744,1,90810,3,0
IND_0309,Individual,4,2.0,2.0,50.0,2019,2023,2,4,3112,1965,673837,1,90805,4,0
IND_0310,Individual,2,2.0,0.0,0.0,2022,2024,2,1,1914,1905,620193,1,90813,1,1
IND_0311,Individual,3,2.0,1.0,33.3,2022,2022,1,4,1456,1963,133874,1,90804,0,3
436 DAISY PROPERTY LLC,LLC,2,2.0,0.0,0.0,2018,2018,1,12,4040,1927,2930043,1,90802,1,1
IND_0312,Individual Trust,3,2.0,1.0,33.3,2018,2019,2,18,13906,1961,1778993,1,90814,0,3
IND_0313,Individual,2,2.0,0.0,0.0,2022,2023,2,1,1876,1945,571043,1,90808,2,0
IND_0314,Individual Trust,2,2.0,0.0,0.0,2019,2020,2,12,7573,1963,427773,1,90813,2,0
IND_0315,Individual,2,2.0,0.0,0.0,2025,2025,1,8,4300,1958,1597378,1,90813,2,0
J MAR FAMILY PARTNERSHIP,Limited Partnership,3,2.0,1.0,33.3,2019,2023,2,8,6608,1964,1772007,2,"90804, 90814",2,1
IND_0316,Individual Trust,2,2.0,0.0,0.0,2022,2024,2,4,3897,1977,315952,1,90806,2,0
IND_0317,Individual Trust,4,2.0,2.0,50.0,2018,2020,2,20,13746,1958,432574,1,90806,4,0
IND_0318,Individual Trust,4,2.0,2.0,50.0,2022,2023,2,9,5544,1959,1066813,1,90813,4,0
SALINA INVESTMENTS LLC,LLC,2,2.0,0.0,0.0,2023,2023,1,13,3362,1947,643785,1,90807,0,2
VILLA TICO LLC,LLC,3,2.0,1.0,33.3,2018,2018,1,24,22488,1977,1529581,1,90807,3,0
IND_0319,Individual,2,2.0,0.0,0.0,2021,2022,2,4,3096,1956,866706,1,90806,2,0
IND_0320,Individual Trust,3,2.0,1.0,33.3,2022,2022,1,1,1048,1925,166875,1,90804,1,2
IND_0321,Individual,3,2.0,1.0,33.3,2022,2022,1,12,9028,1986,1721406,1,90804,0,3
IND_0322,Individual Trust,3,2.0,1.0,33.3,2018,2025,3,8,6552,1989,970397,2,"90804, 90814",2,1
24 6TH PLACE APARTMENTS LLC,LLC,3,2.0,1.0,33.3,2019,2022,2,24,25704,1961,11755538,1,90802,0,3
IND_0323,Individual Trust,3,2.0,1.0,33.3,2019,2024,2,15,12344,1959,3554346,1,90814,3,0
IND_0324,Individual,2,2.0,0.0,0.0,2018,2019,2,16,3786,1930,3890390,1,90802,1,1
JUNE QUEST TWO LLC,LLC,2,2.0,0.0,0.0,2019,2023,2,6,3200,1959,1172063,1,90805,2,0
1924 CEDAR LLC,LLC,4,2.0,2.0,50.0,2022,2025,2,8,5112,1932,1468053,1,90806,3,1
IND_0325,Individual Trust,3,2.0,1.0,33.3,2021,2025,2,13,15823,1969,1979382,1,90815,3,0
40 NIETO AVENUE LLC,LLC,4,2.0,2.0,50.0,2023,2025,3,20,9746,1963,2718704,1,90803,4,0
BRITE SPOT LLC,LLC,3,2.0,1.0,33.3,2018,2018,1,13,9654,1988,685716,2,"90806, 90813",2,1
AGILENCE MEDICAL CENTER INC,Corporation,2,2.0,0.0,0.0,2019,2019,1,1,936,1964,371003,1,90814,2,0
IND_0326,Individual,3,2.0,1.0,33.3,2024,2025,2,10,10440,1987,1202282,2,"90804, 90806",0,3
IND_0327,Individual,2,2.0,0.0,0.0,2024,2025,2,6,992,1923,253439,1,90804,2,0
LEAD REAL ESTATE INC,Corporation,3,2.0,1.0,33.3,2018,2021,2,6,1871,1952,906629,1,90813,1,2
IND_0328,Individual Trust,2,2.0,0.0,0.0,2018,2019,2,8,7122,1973,491098,1,90802,1,1
ALAMITOS PLAZA LLC,LLC,2,2.0,0.0,0.0,2022,2024,2,5,5300,1958,1780000,1,90813,1,1
IND_0329,Individual,4,2.0,2.0,50.0,2022,2022,1,1,660,1922,358000,1,90813,2,2
TRIPLE T PROPERTIES LLC,LLC,5,2.0,3.0,60.0,2023,2023,1,11,5787,1961,574197,1,90814,1,4
IND_0330,Individual Trust,3,2.0,1.0,33.3,2020,2020,1,1,1184,1941,249096,1,90810,3,0
IND_0331,Individual,4,2.0,2.0,50.0,2022,2022,1,2,484,1942,800000,1,90804,2,2
IND_0332,Individual Trust,3,2.0,1.0,33.3,2019,2022,2,13,10261,1963,1255602,1,90804,0,3
IND_0333,Individual Trust,3,2.0,1.0,33.3,2019,2022,2,6,4874,1962,928307,1,90805,3,0
KEELY PARTNERS LP,Limited Partnership,4,2.0,2.0,50.0,2019,2025,2,12,8100,1929,1476420,1,90802,4,0
IND_0334,Individual Trust,4,2.0,2.0,50.0,2020,2024,2,1,858,1972,60458,1,90805,4,0
IND_0335,Individual,3,2.0,1.0,33.3,2023,2024,2,8,2716,1962,508439,1,90806,3,0
IND_0336,Individual,2,2.0,0.0,0.0,2019,2023,2,8,5436,1957,1393302,1,90805,0,2
IND_0337,Individual Trust,3,2.0,1.0,33.3,2019,2022,2,8,6060,1964,156223,1,90813,3,0
AVANATH NORTHPOINTE LP,Limited Partnership,2,2.0,0.0,0.0,2023,2025,2,280,15936,1969,46411551,1,90805,2,0
EISENSTEIN RENTAL PROPERTIES LLC,LLC,4,2.0,2.0,50.0,2023,2023,1,7,3677,1949,425959,1,90804,4,0
IND_0338,Individual,4,2.0,2.0,50.0,2022,2022,1,1,700,1913,328240,1,90806,0,4
IND_0339,Individual,4,2.0,2.0,50.0,2022,2025,2,2,858,1943,238819,1,90805,3,1
DSW GROUP LLC,LLC,2,2.0,0.0,0.0,2018,2023,2,6,3185,1949,686742,1,90806,1,1
4250 LAKEWOOD BL LLC,LLC,3,2.0,1.0,33.3,2019,2022,2,12,7406,1963,2287363,1,90808,1,2
SEA MIST VOA AFFORDABLE,Other/Unknown,3,2.0,1.0,33.3,2019,2019,1,75,58654,1993,11991496,1,90813,0,3
IND_0340,Individual Trust,4,2.0,2.0,50.0,2019,2025,2,4,808,1937,498471,1,90813,4,0
IND_0341,Individual Trust,3,2.0,1.0,33.3,2023,2024,2,6,3868,1924,976471,1,90813,3,0
IND_0342,Individual,2,2.0,0.0,0.0,2018,2019,2,4,3618,1929,1091188,1,90813,0,2
IND_0343,Individual Trust,3,2.0,1.0,33.3,2019,2024,2,4,4920,1972,547115,1,90804,3,0
IND_0344,Individual Trust,3,2.0,1.0,33.3,2019,2019,1,1,946,1949,214661,1,90810,3,0
IND_0345,Individual Trust,3,2.0,1.0,33.3,2018,2018,1,12,3440,1956,1951406,1,90805,3,0
IND_0346,Individual,3,2.0,1.0,33.3,2023,2023,1,8,704,1923,528676,1,90813,2,1
BROADWAY 2075 LLC,LLC,4,2.0,2.0,50.0,2021,2023,2,20,11424,1946,1113662,1,90803,4,0
IND_0347,Individual Trust,3,2.0,1.0,33.3,2019,2019,1,16,13735,1952,1960426,1,90803,3,0
IND_0348,Individual,4,2.0,2.0,50.0,2019,2024,2,2,1499,1948,803841,1,90810,4,0
FULLHOUSE EQUITY LLC,LLC,4,2.0,2.0,50.0,2020,2021,2,8,5550,1947,1502033,1,90806,4,0
IND_0349,Individual Trust,3,2.0,1.0,33.3,2018,2025,2,5,810,1921,82120,1,90813,3,0
IND_0350,Individual Trust,4,2.0,2.0,50.0,2018,2019,2,10,6130,1960,1294065,1,90805,4,0
3415 LINDEN AVENUE LP,Limited Partnership,2,2.0,0.0,0.0,2019,2024,2,93,81303,1973,3527026,1,90807,2,0
ANOTHERFINEMESS LLC,LLC,4,2.0,2.0,50.0,2018,2018,1,8,5046,1964,962062,1,90806,0,4
IND_0351,Individual,2,2.0,0.0,0.0,2022,2022,1,1,2037,1910,533418,1,90813,2,0
IND_0352,Individual,3,2.0,1.0,33.3,2018,2019,2,10,7650,1959,429698,1,90802,3,0
IND_0353,Individual,2,2.0,0.0,0.0,2019,2023,2,9,6068,1929,1405212,1,90803,1,1
IND_0354,Individual,4,2.0,2.0,50.0,2024,2024,1,8,1696,1955,123996,1,90805,2,2
NEWPORT MESA CAPITAL LLC,LLC,3,2.0,1.0,33.3,2024,2025,2,8,5030,1946,849640,1,90807,3,0
PARAMOUNT LIVING LLC,LLC,4,2.0,2.0,50.0,2023,2024,2,5,5552,1964,1426304,1,90805,2,2
IND_0355,Individual,3,2.0,1.0,33.3,2021,2024,2,4,6067,1991,402736,1,90804,3,0
IND_0356,Individual Trust,3,2.0,1.0,33.3,2019,2023,2,12,6782,1957,547263,2,"90810, 90813",2,1
YANG 88 ENTERPRISES LLC,LLC,2,2.0,0.0,0.0,2023,2025,2,17,16503,1987,2081311,1,90804,2,0
IND_0357,Individual Trust,3,2.0,1.0,33.3,2023,2025,2,10,4978,1958,1484000,2,"90804, 90813",2,1
IND_0358,Individual Trust,3,2.0,1.0,33.3,2018,2024,2,2,1472,1934,461180,1,90807,3,0
IND_0359,Individual,2,2.0,0.0,0.0,2022,2023,2,1,1199,1941,253196,1,90810,2,0
IND_0360,Individual Trust,3,2.0,1.0,33.3,2019,2021,2,10,5720,1959,291579,1,90813,3,0
IND_0361,Individual Trust,3,2.0,1.0,33.3,2019,2025,3,4,1138,1937,499660,1,90806,3,0
IND_0362,Individual,4,2.0,2.0,50.0,2018,2025,2,1,1672,1992,487850,1,90805,4,0
EAST VILLAGE INVESTMENTS LLC,LLC,4,2.0,2.0,50.0,2021,2023,3,24,13938,1923,2844118,1,90802,4,0
IND_0363,Individual,3,2.0,1.0,33.3,2022,2024,3,20,3000,1959,339253,1,90813,3,0
IND_0364,Individual Trust,2,2.0,0.0,0.0,2018,2025,2,9,7093,1963,487216,1,90813,2,0
GARDENIA APARTMENTS LLC,LLC,3,2.0,1.0,33.3,2023,2025,2,17,12700,1964,1697311,1,90806,3,0
IND_0365,Individual Trust,5,2.0,3.0,60.0,2018,2024,3,2,960,2004,589000,1,90802,3,2
IND_0366,Individual Trust,4,2.0,2.0,50.0,2018,2018,1,7,5283,1963,1484997,1,90810,4,0
S W S INVESTMENT CO LLC,LLC,4,2.0,2.0,50.0,2019,2024,2,56,25698,1968,4367438,1,90815,4,0
LOMA JUNIPERO LLC,LLC,3,2.0,1.0,33.3,2018,2018,1,1,646,1911,295280,1,90804,0,3
IND_0367,Individual Trust,2,2.0,0.0,0.0,2018,2023,2,7,5014,1955,736849,1,90806,0,2
KIT KAT INTERNATIONAL INC,Corporation,4,2.0,2.0,50.0,2018,2023,2,17,9460,1987,1553256,2,"90804, 90813",2,2
IND_0368,Individual Trust,3,2.0,1.0,33.3,2018,2018,1,4,4810,1989,684254,1,90813,0,3
IND_0369,Individual,4,2.0,2.0,50.0,2019,2019,1,6,3135,1937,695764,2,"90802, 90805",2,2
IND_0370,Individual Trust,3,2.0,1.0,33.3,2021,2023,2,16,7628,1923,2077925,1,90802,3,0
CF WALKER BUILDING LLC,LLC,2,2.0,0.0,0.0,2024,2025,2,1,1716,1929,635100,1,90802,2,0
IND_0371,Individual,3,2.0,1.0,33.3,2019,2023,2,2,1281,1913,746336,1,90802,3,0
5523 ATLANTIC APARTMENTS LLC,LLC,2,2.0,0.0,0.0,2024,2024,1,4,2756,1912,568694,1,90813,0,2
IND_0372,Individual,2,2.0,0.0,0.0,2018,2024,2,8,4496,1921,620688,1,90803,0,2
EMERALD CIRCLE PROPERTIES LLC,LLC,2,2.0,0.0,0.0,2022,2024,2,24,24685,1965,7988956,1,90814,1,1
FOUNTAIN CREEK HENRY APT LLC,LLC,2,2.0,0.0,0.0,2019,2022,2,25,17668,1987,1544028,1,90804,1,1
IND_0373,Individual Trust,3,2.0,1.0,33.3,2018,2024,3,9,5488,1960,546050,1,90806,3,0
IND_0374,Individual,3,2.0,1.0,33.3,2022,2023,2,1,1688,1960,845182,1,90803,1,2
AMUSEMENT INDUSTRY INC,Corporation,3,2.0,1.0,33.3,2023,2024,2,3,760,1932,734148,1,90805,3,0
SHELTON PROPERTIES LLC,LLC,2,2.0,0.0,0.0,2018,2023,2,9,9554,1988,1136029,1,90802,2,0
IND_0375,Individual Trust,4,2.0,2.0,50.0,2018,2022,2,18,14784,1922,985418,1,90802,2,2
IND_0376,Individual,2,2.0,0.0,0.0,2018,2021,2,2,725,1939,500906,1,90805,0,2
2120 7TH STREET APTS LLC,LLC,2,2.0,0.0,0.0,2019,2025,2,10,1989,1924,984279,1,90804,1,1
IND_0377,Individual Trust,2,2.0,0.0,0.0,2019,2024,2,12,4630,1923,1456174,1,90804,0,2
IND_0378,Individual Trust,4,2.0,2.0,50.0,2022,2025,3,3,1238,1918,323035,1,90804,2,2
IND_0379,Individual,3,2.0,1.0,33.3,2018,2018,1,4,3000,1961,803827,1,90805,3,0
790 MIRA MAR LLC,LLC,2,2.0,0.0,0.0,2018,2025,2,9,7004,1963,2473360,1,90804,2,0
IND_0380,Individual Trust,2,2.0,0.0,0.0,2024,2025,2,11,8259,1963,389234,1,90814,2,0
IND_0381,Individual,2,2.0,0.0,0.0,2019,2025,2,4,1075,0,1014386,1,90802,2,0
IND_0382,Individual Trust,3,2.0,1.0,33.3,2023,2025,2,11,1792,1954,2575387,1,90804,3,0
IND_0383,Individual,4,2.0,2.0,50.0,2021,2021,1,1,1126,1948,470000,1,90805,2,2
IND_0384,Individual Trust,4,2.0,2.0,50.0,2018,2024,3,16,14477,1965,1389941,1,90802,4,0
OCEAN APARTMENT COMPANY L P,Other/Unknown,4,2.0,2.0,50.0,2023,2024,2,17,23639,1924,1227795,1,90802,2,2
IND_0385,Individual Trust,4,2.0,2.0,50.0,2018,2022,2,1,1234,1953,558193,1,90815,0,4
IND_0386,Individual Trust,4,2.0,2.0,50.0,2022,2023,2,12,7213,1922,852890,1,90802,4,0
IND_0387,Individual Trust,4,2.0,2.0,50.0,2022,2022,1,6,4872,1989,2061134,1,90804,3,1
IND_0388,Individual Trust,4,2.0,2.0,50.0,2021,2022,2,6,4112,1955,268559,1,90806,0,4
IND_0389,Individual Trust,3,2.0,1.0,33.3,2019,2022,2,1,1766,1948,305054,1,90805,3,0
IND_0390,Individual,3,2.0,1.0,33.3,2018,2023,2,8,2880,1938,925245,1,90804,0,3
IND_0391,Individual Trust,2,2.0,0.0,0.0,2022,2024,2,4,1449,1923,415234,1,90813,2,0
IND_0392,Individual Trust,4,2.0,2.0,50.0,2019,2023,3,10,3904,1923,69025,1,90804,0,4
IND_0393,Individual Trust,3,2.0,1.0,33.3,2018,2020,3,2,1542,1912,293011,1,90813,0,3
IND_0394,Individual,2,2.0,0.0,0.0,2018,2024,2,1,4547,1965,828400,2,"90808, 90815",1,1
IND_0395,Individual Trust,2,2.0,0.0,0.0,2019,2019,1,8,6348,1987,1017040,1,90804,0,2
EUCLID GROUP,Other/Unknown,4,2.0,2.0,50.0,2018,2023,2,13,4876,1923,1001118,2,"90802, 90813",4,0
IND_0396,Individual Trust,3,2.0,1.0,33.3,2025,2025,1,12,3024,1956,1334889,1,90802,3,0
IND_0397,Individual Trust,2,2.0,0.0,0.0,2023,2024,2,17,11088,0,1444858,1,90802,2,0
LONG BEACH AND 21ST LP,Limited Partnership,5,2.0,3.0,60.0,2023,2025,3,41,40434,2015,8688922,1,90806,5,0
PK TEMPLE LTD,Religious,3,2.0,1.0,33.3,2018,2018,1,28,20992,1963,1570248,1,90814,2,1
VMG HOLDINGS V LLC,LLC,3,2.0,1.0,33.3,2019,2023,2,15,8940,1923,2900000,1,90802,3,0
PATRIDIS FAMILY LLC,LLC,4,2.0,2.0,50.0,2019,2022,2,16,10908,1952,510509,1,90802,0,4
